Skill,Count,Ranking
nosql,2,0.00701754385965
splunk,10,0.0350877192982
pig,2,0.00701754385965
hive,12,0.0421052631579
sas,33,0.115789473684
tableau,12,0.0421052631579
hbase,1,0.00350877192982
d3,24,0.0842105263158
cassandra,5,0.0175438596491
java,60,0.210526315789
rdbms,1,0.00350877192982
scala,3,0.0105263157895
excel,14,0.0491228070175
hadoop,25,0.0877192982456
perl,6,0.0210526315789
mahout,3,0.0105263157895
matlab,19,0.0666666666667
numpy,8,0.0280701754386
pandas,7,0.0245614035088
python,90,0.315789473684
javascript,6,0.0210526315789
scipy,4,0.0140350877193
sql,54,0.189473684211
spark,17,0.059649122807
php,30,0.105263157895
ruby,5,0.0175438596491
bash,5,0.0175438596491
c++,33,0.115789473684
spss,5,0.0175438596491
r,57,0.2
