Skill,Count,Ranking
shark,1,0.00125313283208
nosql,1,0.00125313283208
saas,1,0.00125313283208
zookeeper,3,0.00375939849624
pig,23,0.0288220551378
hive,30,0.0375939849624
oozie,6,0.00751879699248
mysql,2,0.00250626566416
sas,222,0.278195488722
tableau,28,0.0350877192982
hbase,15,0.0187969924812
d3,11,0.0137844611529
cassandra,12,0.015037593985
java,302,0.378446115288
rdbms,7,0.00877192982456
scala,11,0.0137844611529
excel,142,0.177944862155
hadoop,218,0.273182957393
perl,134,0.167919799499
mahout,14,0.0175438596491
matlab,111,0.139097744361
numpy,21,0.0263157894737
pandas,29,0.0363408521303
flume,4,0.00501253132832
python,308,0.385964912281
javascript,23,0.0288220551378
spotfire,3,0.00375939849624
scipy,21,0.0263157894737
sql,163,0.204260651629
spark,41,0.0513784461153
php,10,0.0125313283208
ruby,30,0.0375939849624
mssql,1,0.00125313283208
bash,6,0.00751879699248
mapreduce,1,0.00125313283208
c++,146,0.182957393484
spss,145,0.181704260652
r,301,0.377192982456
splunk,6,0.00751879699248
powerpoint,3,0.00375939849624
