Skill,Count,Ranking
shark,3,0.00837988826816
hadoop,86,0.240223463687
hive,42,0.117318435754
sas,109,0.304469273743
d3,2,0.00558659217877
java,39,0.108938547486
rdbms,28,0.0782122905028
scala,2,0.00558659217877
excel,92,0.256983240223
tableau,41,0.114525139665
perl,26,0.072625698324
mahout,9,0.0251396648045
matlab,102,0.284916201117
pig,45,0.125698324022
python,73,0.203910614525
javascript,2,0.00558659217877
sql,151,0.421787709497
spark,36,0.100558659218
php,2,0.00558659217877
ruby,2,0.00558659217877
c++,16,0.0446927374302
r,140,0.391061452514
powerpoint,1,0.00279329608939
