Skill,Count,Ranking
shark,4,0.0012258657677
oozie,2,0.000612932883849
pig,49,0.0150168556543
hive,158,0.0484216978241
sas,262,0.0802942077842
tableau,53,0.016242721422
hbase,28,0.00858106037389
d3,52,0.0159362549801
cassandra,11,0.00337113086117
java,637,0.195219123506
rdbms,4,0.0012258657677
scala,112,0.0343242414956
excel,980,0.300337113086
hadoop,520,0.159362549801
perl,324,0.0992951271836
mahout,5,0.00153233220962
matlab,107,0.0327919092859
numpy,9,0.00275819797732
pandas,25,0.00766166104812
flume,3,0.000919399325774
zookeeper,1,0.000306466441925
python,982,0.30095004597
javascript,97,0.0297272448667
spotfire,225,0.068954949433
scipy,9,0.00275819797732
sql,841,0.257738277659
spark,138,0.0422923689856
php,108,0.0330983757279
ruby,63,0.0193073858413
mssql,1,0.000306466441925
bash,9,0.00275819797732
mapreduce,2,0.000612932883849
c++,681,0.208703646951
spss,85,0.0260496475636
r,1121,0.343548881397
splunk,17,0.00520992951272
powerpoint,69,0.0211461844928
