Skill,Count,Ranking
shark,172,0.0583842498303
nosql,2,0.000678886625933
saas,2,0.000678886625933
sql,958,0.325186693822
pig,457,0.155125594026
hive,725,0.246096401901
oozie,5,0.00169721656483
sas,349,0.118465716225
tableau,251,0.0852002715547
hbase,35,0.0118805159538
d3,37,0.0125594025798
cassandra,32,0.0108621860149
java,933,0.316700610998
rdbms,21,0.0071283095723
scala,252,0.0855397148676
excel,172,0.0583842498303
hadoop,1047,0.355397148676
perl,236,0.0801086218601
mahout,11,0.00373387644263
matlab,150,0.050916496945
numpy,9,0.0030549898167
pandas,197,0.0668703326544
sps,4,0.00135777325187
python,1249,0.423964697895
javascript,81,0.0274949083503
spotfire,10,0.00339443312967
scipy,7,0.00237610319077
splunk,192,0.0651731160896
spark,560,0.190088255261
php,46,0.0156143923965
ruby,101,0.0342837746096
mssql,4,0.00135777325187
bash,186,0.0631364562118
postgresql,2,0.000678886625933
mapreduce,2,0.000678886625933
c++,319,0.108282416836
spss,83,0.0281737949762
r,1229,0.417175831636
zookeeper,2,0.000678886625933
powerpoint,5,0.00169721656483
