Skill,Count,Ranking
saas,4,0.00241837968561
zookeeper,2,0.00120918984281
pig,57,0.03446191052
hive,142,0.0858524788392
sas,168,0.101571946796
hbase,11,0.00665054413543
d3,28,0.0169286577993
cassandra,25,0.0151148730351
java,424,0.256348246675
rdbms,4,0.00241837968561
scala,38,0.0229746070133
excel,124,0.0749697702539
tableau,56,0.0338573155985
perl,90,0.0544135429262
mahout,19,0.0114873035067
matlab,59,0.0356711003628
numpy,5,0.00302297460701
pandas,5,0.00302297460701
python,384,0.232164449819
javascript,96,0.0580411124547
spotfire,1,0.000604594921403
scipy,5,0.00302297460701
sql,268,0.162031438936
spark,211,0.127569528416
php,95,0.0574365175333
ruby,110,0.0665054413543
mssql,1,0.000604594921403
bash,3,0.00181378476421
mapreduce,3,0.00181378476421
c++,121,0.0731559854897
spss,102,0.0616686819831
r,431,0.260580411125
splunk,4,0.00241837968561
hadoop,170,0.102781136638
powerpoint,9,0.00544135429262
