Skill,Ranking_Detroit,Ranking_Seattle,Ranking_New York,Ranking_San Francisco,Ranking_Austin,Ranking_Chicago
Bash,0.0,0.00181378476421,0.00275819797732,0.0631364562118,0.0175438596491,0.00751879699248
R,0.391061452514,0.260580411125,0.343548881397,0.417175831636,0.2,0.377192982456
Python,0.203910614525,0.232164449819,0.30095004597,0.423964697895,0.315789473684,0.385964912281
Java,0.108938547486,0.256348246675,0.195219123506,0.316700610998,0.210526315789,0.378446115288
C++,0.0446927374302,0.0731559854897,0.208703646951,0.108282416836,0.115789473684,0.182957393484
Ruby,0.00558659217877,0.0665054413543,0.0193073858413,0.0342837746096,0.0175438596491,0.0375939849624
Perl,0.072625698324,0.0544135429262,0.0992951271836,0.0801086218601,0.0210526315789,0.167919799499
Matlab,0.284916201117,0.0356711003628,0.0327919092859,0.050916496945,0.0666666666667,0.139097744361
Javascript,0.00558659217877,0.0580411124547,0.0297272448667,0.0274949083503,0.0210526315789,0.0288220551378
Scala,0.00558659217877,0.0229746070133,0.0343242414956,0.0855397148676,0.0105263157895,0.0137844611529
PhP,0.00558659217877,0.0574365175333,0.0330983757279,0.0156143923965,0.105263157895,0.0125313283208
Excel,0.256983240223,0.0749697702539,0.300337113086,0.0583842498303,0.0491228070175,0.177944862155
Tableau,0.114525139665,0.0338573155985,0.016242721422,0.0852002715547,0.0421052631579,0.0350877192982
D3.JS,0.0,0.0,0.0,0.0,0.0,0.0
SAS,0.304469273743,0.101571946796,0.0802942077842,0.118465716225,0.115789473684,0.278195488722
SPSS,0.0,0.0616686819831,0.0260496475636,0.0281737949762,0.0175438596491,0.181704260652
D3,0.00558659217877,0.0169286577993,0.0159362549801,0.0125594025798,0.0842105263158,0.0137844611529
SAAS,0.0,0.00241837968561,0.0,0.000678886625933,0.0,0.00125313283208
Pandas,0.0,0.00302297460701,0.00766166104812,0.0668703326544,0.0245614035088,0.0363408521303
Numpy,0.0,0.00302297460701,0.00275819797732,0.0030549898167,0.0280701754386,0.0263157894737
Scipy,0.0,0.00302297460701,0.00275819797732,0.00237610319077,0.0140350877193,0.0263157894737
SPS,0.0,0.0,0.0,0.00135777325187,0.0,0.0
Spotfire,0.0,0.000604594921403,0.068954949433,0.00339443312967,0.0,0.00375939849624
Scikits.learn,0.0,0.0,0.0,0.0,0.0,0.0
Splunk,0.0,0.00241837968561,0.00520992951272,0.0651731160896,0.0350877192982,0.00751879699248
Powerpoint,0.00279329608939,0.00544135429262,0.0211461844928,0.00169721656483,0.0,0.00375939849624
H2O,0.0,0.0,0.0,0.0,0.0,0.0
Hadoop,0.240223463687,0.102781136638,0.159362549801,0.355397148676,0.0877192982456,0.273182957393
MapReduce,0.0,0.00181378476421,0.000612932883849,0.000678886625933,0.0,0.00125313283208
Spark,0.100558659218,0.127569528416,0.0422923689856,0.190088255261,0.059649122807,0.0513784461153
Pig,0.125698324022,0.03446191052,0.0150168556543,0.155125594026,0.00701754385965,0.0288220551378
Hive,0.117318435754,0.0858524788392,0.0484216978241,0.246096401901,0.0421052631579,0.0375939849624
Shark,0.00837988826816,0.0,0.0012258657677,0.0583842498303,0.0,0.00125313283208
Oozie,0.0,0.0,0.000612932883849,0.00169721656483,0.0,0.00751879699248
Zookeeper,0.0,0.00120918984281,0.000306466441925,0.000678886625933,0.0,0.00375939849624
Flume,0.0,0.0,0.000919399325774,0.0,0.0,0.00501253132832
Mahout,0.0251396648045,0.0114873035067,0.00153233220962,0.00373387644263,0.0105263157895,0.0175438596491
SQL,0.421787709497,0.162031438936,0.257738277659,0.325186693822,0.189473684211,0.204260651629
NoSQL,0.0,0.0,0.0,0.000678886625933,0.00701754385965,0.00125313283208
Hbase,0.0,0.00665054413543,0.00858106037389,0.0118805159538,0.00350877192982,0.0187969924812
Cassandra,0.0,0.0151148730351,0.00337113086117,0.0108621860149,0.0175438596491,0.015037593985
Mongodb,0.0,0.0,0.0,0.0,0.0,0.0
MySQL,0.0,0.0,0.0,0.0,0.0,0.00250626566416
MSSQL,0.0,0.000604594921403,0.000306466441925,0.00135777325187,0.0,0.00125313283208
Postgresql,0.0,0.0,0.0,0.000678886625933,0.0,0.0
Oracle DB,0.0,0.0,0.0,0.0,0.0,0.0
RDBMS,0.0782122905028,0.00241837968561,0.0012258657677,0.0071283095723,0.00350877192982,0.00877192982456
